Name,Place,Floor,Image URL,Website
Carl & Claire Perfume ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Carl-Claire-Perfumelogo-41.jpg,https://www.malkelapagading.com/directory/carl-and-claire-perfume
CELINA ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/CELINAlogo-66.jpg,https://www.malkelapagading.com/directory/celina
Cellini Design Center ,MKG-5,Lantai 2,http://images.malkelapagading.com/tenant/Cellini-Design-Centerlogo-84.png,https://www.malkelapagading.com/directory/cellini
Century Health Care ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Century-Health-Carelogo.jpg,https://www.malkelapagading.com/directory/century-health-care
Charles & Keith ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Charles-Keithlogo1.jpg,https://www.malkelapagading.com/directory/charles-and-keith
CHATERAISE ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/CHATERAISElogo.jpg,https://www.malkelapagading.com/directory/chateraise
Chatime ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Chatimelogo.jpg,https://www.malkelapagading.com/directory/new-chatime
CHURROBITES ,MKG-3,Basement,http://images.malkelapagading.com/tenant/CHURROBITESlogo-17.jpg,https://www.malkelapagading.com/directory/churrobites
Cielyn Sleepwear ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/Cielyn-Sleepwearlogo-77.jpg,https://www.malkelapagading.com/directory/cielyn-sleepwear
Cindy ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Cindylogo.jpg,https://www.malkelapagading.com/directory/cindy-yayang
Cinema XXI ,MKG-2,Lantai 3,http://images.malkelapagading.com/tenant/Cinema-XXIlogo3.jpg,https://www.malkelapagading.com/directory/cinema-xxi
Cinnabon ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Cinnabonlogo-45.jpg,https://www.malkelapagading.com/directory/cinnabon
Clarks ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Clarkslogo.jpg,https://www.malkelapagading.com/directory/clarks
COCO Ichibanya ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/COCO-Ichibanyalogo1.jpg,https://www.malkelapagading.com/directory/coco-ichibanya
Coldstone ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Coldstonelogo.jpg,https://www.malkelapagading.com/directory/coldstone
CONVERSE ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/CONVERSElogo-64.jpg,https://www.malkelapagading.com/directory/converse
D`Crepes ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/DCrepeslogo.jpg,https://www.malkelapagading.com/directory/dcrepes
D`Paris ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/D-Parislogo.jpg,https://www.malkelapagading.com/directory/d-paris
Dairy Queen ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Dairy-Queenlogo1.jpg,https://www.malkelapagading.com/directory/dairy-queen
Daniel Wellington ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Daniel-Wellingtonlogo1.jpg,https://www.malkelapagading.com/directory/daniel-wellington
Dear Butter ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Dear-Butterlogo-26.jpg,https://www.malkelapagading.com/directory/dear-butter
Din Tai Fung ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Din-Tai-Funglogo-8.jpg,https://www.malkelapagading.com/directory/din-tai-fung
DJI ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/DJIlogo-9.jpg,https://www.malkelapagading.com/directory/dji
Don Bakeshop ,MKG-3,Basement,http://images.malkelapagading.com/tenant/Don-Bakeshoplogo-93.jpg,https://www.malkelapagading.com/directory/don-bakeshop
Doner Kebab ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Donner-Kebablogo.jpg,https://www.malkelapagading.com/directory/donner-kebab
Drink Temptation ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Drink-Temptationlogo4.jpg,https://www.malkelapagading.com/directory/drink-temptation
Dwidaya Tour ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Dwidaya-Tourlogo-72.png,https://www.malkelapagading.com/directory/dwidaya-tour
Dynamic Bakery & Cafe ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Dynamic-Cafelogo.jpg,https://www.malkelapagading.com/directory/dynamic-bakery
EggO Waffle ,MKG-3,Basement,http://images.malkelapagading.com/tenant/Eggo-Wafflelogo.jpg,https://www.malkelapagading.com/directory/eggo-waffle
ELC (Early Learning Center) ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/ELC-Early-Learning-Center-logo-57.jpg,https://www.malkelapagading.com/directory/elc
Erafone ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Erafonelogo.jpg,https://www.malkelapagading.com/directory/erafone
Erha Ultimate ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Erha-Ultimatelogo-921.jpg,https://www.malkelapagading.com/directory/erha-ultimate
Es OYEN ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Es-OYENlogo-15.jpg,https://www.malkelapagading.com/directory/es-oyen
Et Cetera ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Et-Ceteralogo-77.jpg,https://www.malkelapagading.com/directory/et-cetera
EVB ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/EVBlogo.jpg,https://www.malkelapagading.com/directory/evb
Everbest ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Everbestlogo.jpg,https://www.malkelapagading.com/directory/everbest
Everlash ,MKG-5,Basement,http://images.malkelapagading.com/tenant/Everlashlogo-69.jpg,https://www.malkelapagading.com/directory/everlash
Excelso Coffee ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Kafe-Excelsologo.jpg,https://www.malkelapagading.com/directory/excelso-kafe
Family Mart ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Family-Martlogo.jpg,https://www.malkelapagading.com/directory/family-mart
Famous Amous ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Famous-Amouslogo.jpg,https://www.malkelapagading.com/directory/famous-amous
Farmers Market ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Farmers-Marketlogo-64.jpg,https://www.malkelapagading.com/directory/farmers-market
Favor ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Favorlogo1.jpg,https://www.malkelapagading.com/directory/favor
Fiesta Steak ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Fiesta-Steaklogo.jpg,https://www.malkelapagading.com/directory/fiesta-steak
Find Kapoor ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Find-Kapoorlogo-28.jpg,https://www.malkelapagading.com/directory/find-kapoor
First Love Patisserie ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/First-love-Pattiserilogo.jpg,https://www.malkelapagading.com/directory/first-love-pattisserie
Foek Lam ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Foek-Lamlogo-25.jpg,https://www.malkelapagading.com/directory/foek-lam
FOGO ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/FOGOlogo-98.jpg,https://www.malkelapagading.com/directory/fogo
Fonel ,MKG-1,Lantai 1,http://images.malkelapagading.com/tenant/Fonellogo.jpg,https://www.malkelapagading.com/directory/fonel
Footlocker  ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Footlocker-logo-151.jpg,https://www.malkelapagading.com/directory/footlocker
Francis Artisan Bakery ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Francis-Bakerylogo.jpg,https://www.malkelapagading.com/directory/francis-artisan-bakery
Frank & Co Jewellery ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Frank-Co-Jewellerylogo.jpg,https://www.malkelapagading.com/directory/frank-and-co-jewellery
Fun World ,MKG-1,Lantai 1,http://images.malkelapagading.com/tenant/Jolly-Fieldslogo.jpg,https://www.malkelapagading.com/directory/fun-world
Gado-Gado Boplo ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Gado-Gado-Boplologo.jpg,https://www.malkelapagading.com/directory/gado-gado-boplo
Galeri Musik Jakarta ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Galeri-Musik-Jakartalogo1.jpg,https://www.malkelapagading.com/directory/galeri-musik-jakarta
Garmin ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Garminlogo-64.jpg,https://www.malkelapagading.com/directory/garmin
GC - Guess Collection ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Guess-Collectionlogo1.jpg,https://www.malkelapagading.com/directory/guess-collection
Genki Sushi ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Genki-Sushilogo.jpg,https://www.malkelapagading.com/directory/genki-sushi
Gingersnaps ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/Gingersnapslogo.jpg,https://www.malkelapagading.com/directory/gingersnaps
Gion & NOB Journal ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Gion-NOB-Journallogo-73.jpg,https://www.malkelapagading.com/directory/gion-the-sushi-bar-and-nob-journal
Giordano ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Giordanologo.jpg,https://www.malkelapagading.com/directory/giordano
GNC Live Well ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/GNC-Live-Welllogo.jpg,https://www.malkelapagading.com/directory/gnc-live-well
